iter	Passed	Remaining
523	34684	20718
524	34757	20655
525	34820	20587
526	34898	20528
527	34967	20463
528	35033	20397
529	35109	20336
530	35182	20274
531	35253	20211
532	35315	20142
533	35383	20077
534	35445	20008
535	35505	19938
536	35566	19869
537	35632	19802
538	35708	19742
539	35764	19670
540	35829	19603
541	35891	19534
542	35946	19463
543	36009	19394
544	36074	19328
545	36140	19261
546	36203	19193
547	36266	19126
548	36330	19058
549	36387	18987
550	36453	18921
551	36513	18852
552	36570	18781
553	36634	18713
554	36693	18644
555	36755	18576
556	36819	18508
557	36887	18443
558	36952	18377
559	37011	18307
560	37077	18241
561	37140	18173
562	37209	18109
563	37272	18041
564	37334	17973
565	37401	17907
566	37466	17841
567	37537	17777
568	37599	17709
569	37666	17643
570	37733	17578
571	37795	17510
572	37855	17441
573	37916	17372
574	37980	17305
575	38045	17239
576	38112	17173
577	38178	17107
578	38247	17043
579	38309	16974
580	38376	16909
581	38442	16843
582	38508	16777
583	38577	16712
584	38646	16647
585	38710	16580
586	38775	16514
587	38842	16448
588	38909	16382
589	38976	16317
590	39042	16251
591	39108	16185
592	39162	16114
593	39226	16047
594	39287	15979
595	39343	15908
596	39409	15842
597	39473	15776
598	39533	15707
599	39596	15640
600	39663	15574
601	39731	15509
602	39794	15442
603	39854	15374
604	39922	15309
605	39986	15242
606	40048	15174
607	40108	15106
608	40177	15041
609	40247	14977
610	40309	14909
611	40376	14844
612	40444	14778
613	40510	14713
614	40570	14644
615	40631	14577
616	40698	14511
617	40764	14445
618	40824	14377
619	40894	14312
620	40960	14247
621	41023	14180
622	41087	14113
623	41150	14046
624	41217	13981
625	41278	13913
626	41349	13849
627	41423	13785
628	41488	13719
629	41553	13653
630	41613	13585
631	41675	13518
632	41746	13453
633	41808	13386
634	41872	13320
635	41936	13253
636	42001	13187
637	42060	13119
638	42123	13052
639	42187	12985
640	42243	12916
641	42308	12850
642	42374	12784
643	42441	12719
644	42504	12652
645	42571	12586
646	42636	12520
647	42700	12454
648	42764	12387
649	42833	12322
650	42904	12258
651	42971	12192
652	43035	12126
653	43096	12059
654	43157	11991
655	43217	11924
656	43278	11857
657	43340	11790
658	43403	11723
659	43468	11657
660	43525	11589
661	43589	11522
662	43648	11455
663	43710	11388
664	43770	11321
665	43839	11256
666	43903	11189
667	43965	11123
668	44030	11057
669	44089	10989
670	44148	10922
671	44216	10856
672	44279	10790
673	44341	10723
674	44401	10656
675	44463	10589
676	44528	10523
677	44594	10458
678	44666	10393
679	44733	10328
680	44796	10261
681	44864	10196
682	44924	10129
683	44994	10064
684	45062	9999
685	45126	9933
686	45190	9866
687	45251	9800
688	45321	9735
689	45393	9670
690	45458	9604
691	45518	9537
692	45584	9472
693	45652	9406
694	45721	9341
695	45782	9274
696	45853	9210
697	45924	9145
698	45996	9080
699	46061	9014
700	46126	8948
701	46194	8883
702	46261	8817
703	46325	8751
704	46396	8687
705	46465	8621
706	46528	8555
707	46594	8489
708	46655	8422
709	46719	8356
710	46789	8291
711	46852	8225
712	46918	8159
713	46980	8093
714	47043	8027
715	47106	7960
716	47174	7895
717	47240	7829
718	47303	7763
719	47367	7697
720	47443	7633
721	47557	7574
722	47672	7516
723	47738	7450
724	47802	7384
725	47875	7319
726	47939	7253
727	48007	7187
728	48077	7122
729	48141	7056
730	48207	6990
731	48279	6925
732	48369	6862
733	48445	6798
734	48521	6733
735	48590	6668
736	48657	6602
737	48727	6536
738	48798	6471
739	48865	6405
740	48931	6339
741	49027	6277
742	49102	6212
743	49174	6146
744	49246	6081
745	49314	6015
746	49379	5949
747	49450	5883
748	49517	5817
749	49582	5751
750	49645	5685
751	49708	5618
752	49778	5552
753	49847	5487
754	49908	5420
755	49980	5355
756	50038	5288
757	50118	5223
758	50228	5161
759	50308	5097
760	50388	5032
761	50450	4965
762	50516	4899
763	50586	4833
764	50662	4768
765	50734	4702
766	50805	4636
767	50873	4570
768	50942	4504
769	51012	4438
770	51080	4372
771	51153	4306
772	51222	4240
773	51285	4174
774	51363	4109
775	51515	4049
776	51598	3984
777	51673	3918
778	51746	3852
779	51818	3786
780	51890	3720
781	51960	3654
782	52034	3588
783	52118	3523
784	52197	3457
785	52261	3391
786	52334	3324
787	52410	3259
788	52484	3193
789	52544	3126
790	52626	3060
791	52709	2994
792	52798	2929
793	52891	2864
794	52970	2798
795	53058	2732
796	53133	2666
797	53209	2600
798	53284	2534
799	53353	2467
800	53422	2401
801	53496	2334
802	53573	2268
803	53652	2202
804	53730	2135
805	53806	2069
806	53880	2002
807	53973	1937
808	54054	1870
809	54130	1804
810	54201	1737
811	54287	1671
812	54364	1604
813	54429	1537
814	54501	1471
815	54577	1404
816	54640	1337
817	54711	1270
818	54771	1203
819	54844	1137
820	54910	1070
821	54924	1002
822	54993	935
823	55062	868
824	55132	801
825	55203	735
826	55267	668
827	55335	601
828	55402	534
829	55470	467
830	55534	400
831	55596	334
832	55667	267
833	55731	200
834	55793	133
835	55857	66
836	55929	0
